CallNo,RptNo,PRA,Beat,OffId,FromDateTime,ToDateTime,NatCall,Title,Location,AptNo,RunDate,RunDataBeginDate,RunDataEndDate,lon,lat,address
122570239,120054314,383,470,1546,9/13/2012 7:45,,BURAPT,BURGLARY--APARTMENT,3400 ROSEMEAD DR,928,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0734596,32.6909718,"3400 rosemead drive, arlington, tx 76014, usa"
122070131,120043726,72,220,2628,7/25/2012 2:25,,BURAPT,BURGLARY--APARTMENT,2604 NIKOS PL,210,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0639695,32.7812728,"2604 nikos place, arlington, tx 76006, usa"
122050940,120043503,38,240,2435,7/23/2012 9:00,7/23/2012 21:32,BURAPT,BURGLARY--APARTMENT,2114 HAYES DR,23F,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1012821,32.7675345,"2114 hayes drive, arlington, tx 76011, usa"
122080465,120044019,377,480,2688,7/26/2012 6:25,7/26/2012 12:42,BURAPT,BURGLARY--APARTMENT,2400 FALLWOOD DR,521,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0668637,32.6919227,"2400 fallwood drive, arlington, tx 76014, usa"
122080994,120044119,84,220,1926,7/26/2012 5:30,7/26/2012 21:42,BURAPT,BURGLARY--APARTMENT,2519 SILVERBROOK LN,110,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0641902,32.7711682,"2519 silverbrook lane, arlington, tx 76006, usa"
122090417,120044222,390,320,2450,7/27/2012 4:30,7/27/2012 5:30,BURAPT,BURGLARY--APARTMENT,4904 OVERVIEW DR,1312,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.210912,32.6658775,"4904 overview drive, arlington, tx 76017, usa"
122090481,120044224,39,240,2737,7/27/2012 12:31,7/27/2012 12:31,BURAPT,BURGLARY--APARTMENT,807 COTTONCREEK CR,1076,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0997736,32.7673273,"807 cottoncreek drive, arlington, tx 76011, usa"
122121049,120044948,63,220,2183,7/30/2012 23:10,,BURAPT,BURGLARY--APARTMENT,1007 MILL CROSSING PL,275,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0952203,32.7798702,"1007 mill crossing place, arlington, tx 76006, usa"
122140113,120045201,38,240,2183,8/1/2012 3:41,,BURAPT,BURGLARY--APARTMENT,2105 LINCOLN DR,2110,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1051518,32.7694669,"2105 lincoln drive, arlington, tx 76011, usa"
122200630,120046548,38,240,2653,8/7/2012 15:12,8/7/2012 15:12,BURAPT,BURGLARY--APARTMENT,2112 HOOVER DR,5J,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1030657,32.7669981,"2112 hoover drive, arlington, tx 76011, usa"
122200518,120046565,95,240,2653,8/7/2012 9:00,8/7/2012 13:00,BURAPT,BURGLARY--APARTMENT,1825 OLD MILL DR,205,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0921519,32.7635433,"1825 old mill drive, arlington, tx, usa"
122220622,120046986,62,220,1986,8/9/2012 13:00,8/9/2012 14:00,BURAPT,BURGLARY--APARTMENT,2915 FOREST HOLLOW LN,2106,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0642449,32.7890429,"2915 forest hollow lane, arlington, tx 76006, usa"
122230375,120047155,229,430,1982,8/10/2012 0:39,8/10/2012 0:45,BURAPT,BURGLARY--APARTMENT,913 S CENTER ST,104,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.105956,32.727589,"913 south center street, arlington, tx 76010, usa"
122240737,120047515,390,320,2736,8/9/2012 18:30,8/11/2012 17:00,BURAPT,BURGLARY--APARTMENT,6500 TREEPOINT DR,175,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.2108809,32.6658494,"6500 treepoint drive, arlington, tx 76017, usa"
122260816,120047947,39,240,2653,8/5/2012 14:30,8/13/2012 21:05,BURAPT,BURGLARY--APARTMENT,2115 MADISON DR,1094,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0998819,32.7682065,"2115 madison drive, arlington, tx 76011, usa"
122280670,120048366,354,380,1521,8/15/2012 6:45,8/15/2012 17:00,BURAPT,BURGLARY--APARTMENT,1623 SADDLE CREEK CR,1425,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1357055,32.6875016,"1623 saddle creek circle, arlington, tx 76015, usa"
